Time,Instrument,Gain
00:37.205,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:37.591,instruments/hide_3-25b_soft.wav,0.2
00:37.595,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:37.599,instruments/hide_3-29b_soft.wav,0.2
00:37.606,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:38.0,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:38.8,instruments/hide_3-32b.wav,0.30000000000000004
00:38.398,instruments/hide_3-28_soft.wav,0.2
00:38.400,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:38.407,instruments/hide_3-24_soft.wav,0.2
00:38.792,instruments/hide_3-33.wav,0.30000000000000004
00:39.197,instruments/hide_3-24b_soft.wav,0.2
00:39.203,instruments/hide_3-28b_soft.wav,0.2
00:39.205,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:39.598,instruments/hide_3-35.wav,0.30000000000000004
00:39.993,instruments/hide_3-29_soft.wav,0.2
00:39.995,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:40.3,instruments/hide_3-25_soft.wav,0.2
00:40.800,instruments/hide_3-29b_soft.wav,0.2
00:40.801,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:40.809,instruments/hide_3-25b_soft.wav,0.2
00:41.591,instruments/hide_3-28_soft.wav,0.2
00:41.602,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:41.607,instruments/hide_3-24_soft.wav,0.2
00:42.391,instruments/hide_3-24b_soft.wav,0.2
00:42.397,instruments/hide_3-28b_soft.wav,0.2
00:42.408,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:43.192,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:43.198,instruments/hide_3-25_soft.wav,0.2
00:43.203,instruments/hide_3-29_soft.wav,0.2
00:43.993,instruments/hide_3-29b_soft.wav,0.2
00:43.999,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:44.4,instruments/hide_3-25b_soft.wav,0.2
00:44.792,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:44.794,instruments/hide_3-28_soft.wav,0.2
00:44.800,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:44.804,instruments/hide_3-24_soft.wav,0.2
00:45.198,instruments/hide_3-30.wav,0.30000000000000004
00:45.206,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:45.594,instruments/hide_3-24b_soft.wav,0.2
00:45.596,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:45.598,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:45.600,instruments/hide_3-28b_soft.wav,0.2
00:46.2,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:46.3,instruments/hide_3-30b.wav,0.30000000000000004
00:46.400,instruments/hide_3-25_soft.wav,0.2
00:46.404,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:46.406,instruments/hide_3-29_soft.wav,0.2
00:46.408,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:46.792,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:46.793,instruments/hide_3-32.wav,0.30000000000000004
00:47.194,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:47.196,instruments/hide_3-29b_soft.wav,0.2
00:47.199,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:47.207,instruments/hide_3-25b_soft.wav,0.2
00:47.600,instruments/hide_3-32b.wav,0.30000000000000004
00:47.605,instruments/double-bass_Fs1_025_forte_arco-normal.wav,0.2
00:47.995,instruments/hide_3-24_soft.wav,0.2
00:47.997,instruments/hide_3-28_soft.wav,0.2
00:48.3,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:48.405,instruments/hide_3-33.wav,0.30000000000000004
00:48.793,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:48.800,instruments/hide_3-24b_soft.wav,0.2
00:48.802,instruments/hide_3-28b_soft.wav,0.2
00:49.195,instruments/hide_3-35.wav,0.30000000000000004
