Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,Fz,Cz,Pz,T2,T1,Oz
00:51.200,0.2122995026157171,0.21485929399633566,0.04756852699931318,0.0576964335960847,0.01485879988054707,0.03446015262729289,0.011801945878210532,0.03474817401160092,0.026238442332692784,0.044515416087276036,0.2017903540413464,0.1711671993613458,0.10206876184452417,0.10219800399925671,0.12528433039687845,0.07053436437650515,0.008391945283820486,0.008282819062255553,0.05451112363963772,0.008640974089940193,0.006804742049828334,0.15514770756027538,0.15724953172129488,0.03172987150726366
00:54.400,0.37433612329969934,0.3036114927540215,0.08988027164567337,0.07789736951354545,0.032991672728716157,0.05383749049337902,0.024021103481723243,0.05603113532527923,0.1487354449015779,0.06787035266201072,0.19105925439106378,0.12785768487539678,0.11933399339250993,0.17762193305858318,0.1569357807531113,0.09276279061744212,0.007754554165635261,0.007796512286092705,0.10369651180074381,0.01927376932734043,0.030225548649126757,0.37379087520527077,0.14533188322563592,0.14772798000168155
00:57.600,0.25271386972228116,0.18231795763907152,0.07293406064097045,0.09697582555304002,0.024297949925291086,0.08038830356204534,0.027703688846751912,0.0643273058829058,0.5369661636194079,0.08834722644473168,0.19901489710961492,0.18147978702931852,0.10998129239575773,0.22699112053359743,0.15157068924560893,0.10649524216145732,0.005790442645191166,0.005747092546791519,0.08220471913667385,0.034485072642866516,0.060331354597678875,0.43226455389551144,0.2649274042165134,0.4949329926529084
01:00.800,0.2370945308529274,0.22021164863172635,0.08179177096761853,0.10836795925968129,0.03527296628932546,0.10567542528877252,0.0338072959744827,0.09434008301812051,0.08431410400822494,0.10964441158668504,0.16582201010318537,0.16698569052219203,0.12199707891140209,0.14040204596991515,0.12257947115036465,0.14565628304967876,0.007864978402592324,0.00852289127092896,0.0895973280369195,0.049858928041131075,0.051504360112181624,0.2926097009646867,0.158332369616432,0.09608376877846952
01:04.0,0.16743684257941194,0.17829945570261782,0.10000928022325843,0.14413466455324556,0.01873772992977814,0.07986112292781772,0.038196362969995824,0.08715119504724857,0.10362689242549261,0.11775022135666773,0.14369102241488396,0.16892634426362008,0.14355174702990153,0.1738376620493354,0.12487818123234697,0.14919945269260346,0.009194553940280585,0.008951218402821006,0.1300956112384674,0.046773409314737426,0.04209491534767242,0.2165426767569802,0.18218894142138767,0.11184407546646094
01:07.200,0.3713642349279428,0.35092354719017754,0.17440568169050089,0.2831047813954831,0.04918689023499186,0.13592713677727342,0.05762140695146339,0.13916521749868188,0.16940204059173633,0.14153290877589844,0.3082601688899151,0.26176601048265297,0.24210171150989734,0.18942171587271167,0.17403590425395987,0.22728174310892504,0.010226905110636593,0.010360015010703029,0.21145048568826935,0.07891590289638747,0.05834605540263374,0.2864976861398972,0.3327193504026213,0.1301658009624994
01:10.400,0.29360618854256276,0.44268657265967853,0.16721734890947085,0.2105013522415725,0.04139602033827876,0.13789402797955239,0.08128912363550232,0.13867626119712392,0.18175962316540137,0.15918623032761434,0.25954699466543535,0.2867738395674616,0.21151730459918097,0.20913944547573174,0.2173064665813363,0.2538364199359979,0.01077341923900089,0.01115809971863191,0.16070523324348485,0.06527336431041922,0.059855407906539086,0.2239978501643185,0.2767022315002874,0.13992926112651385
01:13.600,0.4836162766897568,0.755452509211757,0.23212706585724985,0.33229682779106146,0.04288810854634944,0.1741860236400689,0.09471673216082492,0.12937939155340705,0.1641446024882132,0.3481286546891023,0.3681581429078455,0.6264107166087205,0.20407759981122292,0.3269722707579924,0.2204416385263314,0.24621539143276785,0.011408641388947085,0.011453993790128658,0.22446131640900227,0.09905266929863926,0.07398697214194261,0.3344748319171,0.23646148919573878,0.1796539417230803
01:16.800,0.5727442293982133,0.8360990343964817,0.28071513034199147,0.5089749346639998,0.09284430021627142,0.42550090423167025,0.13755703214647558,0.20869997730414933,0.22745872894258418,0.2246203831196677,0.4939480748262955,0.6866395977328036,0.4078124754843014,0.6575448288179279,0.35052407158890064,0.2981041547819843,0.007888979711673383,0.007999527937141931,0.2933577636964695,0.16212252628369517,0.09761629783299948,0.6468941496506537,0.44421617270390784,0.20868418066037972
01:20.0,0.6122688944538746,0.6963692675053886,0.3487832643655025,0.5215315284911791,0.10051321539688461,0.38404189033185027,0.18582295874903948,0.246070396077781,0.31457059718218344,0.3148582471580372,0.5514460515541415,0.6627856635778538,0.49448802920702445,0.6598561173785651,0.4378909705372943,0.43142113085749806,0.006715084422479354,0.006723859954449497,0.3351815919310947,0.16803788249463672,0.13134687384333033,0.6062393682872396,0.545837121734365,0.3039381161773105
01:23.200,0.7496614364118263,0.9430910667163271,0.462946397446865,0.5654105910428648,0.11542695857560115,0.31622002194282395,0.16548740257865605,0.300524664053,0.3750489307320649,0.8112868941491486,0.6851709104827851,0.6386240570695751,0.5466136294386145,0.7778326740886279,0.4580363242608403,0.5848699259360094,0.007071577415253759,0.006942830204177341,0.4052516188467044,0.13535721644631862,0.1368224033630821,0.5456120934269009,0.6138525194672474,0.7294866434767779
01:26.400,0.76784691279313,0.9359644055232874,0.46862313052225724,0.613981196856109,0.13516660030544334,0.34021321799981724,0.18050102735407333,0.31430974267123,0.37176089741835766,0.5882770174233032,0.7034839933393603,0.658483022828094,0.5553020461747755,0.7593155648443802,0.4629066905448255,0.7289485286186002,0.006071774709866273,0.00563874245126592,0.4244922007383617,0.18694089113299564,0.18561691818464054,0.5510578793800661,0.5961008909037111,0.7394610819654577
01:29.600,0.8021319376104942,0.8332366608076888,0.5227536411415379,0.6440038518063202,0.22890828214885692,0.4512985928454927,0.23329014831100353,0.4581023057320818,0.47145887879408743,0.5973850336159007,0.7263323089619137,0.7204547089938919,0.6581549620772594,0.7867692654095335,0.5332201056212318,0.7748397193018267,0.0072060741919617215,0.007230197161168024,0.4645668743869345,0.22138915708294019,0.25989475419814817,0.7269241579053978,0.675843661491446,0.521387169682349
